                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.31142,                0.31158,                0.24066,                0.86937,                0.99914,                      1,                  0.995,                0.99299,                0.99914,                      1,                  0.995,                0.99149,                0.15737,                0.15384,                0.12625,                0.80694,              0.0098594,              0.0098594,              0.0098594
                     74,                0.31864,                 0.3124,                0.24448,                 0.8685,                0.99914,                      1,                  0.995,                0.98818,                0.99914,                      1,                  0.995,                0.99186,                0.15814,                0.16463,                0.12647,                0.80981,              0.0098574,              0.0098574,              0.0098574
                     75,                0.31225,                0.30558,                0.23426,                0.86812,                0.99922,                      1,                  0.995,                0.98955,                0.99922,                      1,                  0.995,                0.99144,                0.16487,                0.15559,                0.13655,                0.81261,              0.0098555,              0.0098555,              0.0098555
                     76,                0.30814,                0.29815,                0.24019,                0.86345,                0.99899,                      1,                  0.995,                0.99437,                0.99899,                      1,                  0.995,                0.99397,                 0.1492,                0.14512,                0.12675,                0.80939,              0.0098535,              0.0098535,              0.0098535
                     77,                0.30859,                0.31142,                0.23857,                0.86543,                0.99919,                      1,                  0.995,                0.99321,                0.99919,                      1,                  0.995,                0.99246,                0.14803,                0.16502,                0.12628,                 0.8081,              0.0098515,              0.0098515,              0.0098515
                     78,                0.31102,                0.32009,                0.24038,                0.86829,                0.99833,                      1,                  0.995,                0.98727,                0.99833,                      1,                  0.995,                0.98958,                0.16386,                0.17071,                0.16061,                0.81109,              0.0098495,              0.0098495,              0.0098495
                     79,                0.30926,                0.32842,                0.24135,                0.86579,                0.99921,                      1,                  0.995,                0.99361,                0.99921,                      1,                  0.995,                0.99436,                0.15643,                0.13654,                  0.132,                0.80901,              0.0098475,              0.0098475,              0.0098475
                     80,                0.30763,                0.31146,                0.23926,                0.86707,                0.99936,                      1,                  0.995,                0.99325,                0.99936,                      1,                  0.995,                0.99193,                0.14767,                 0.1453,                0.13531,                0.80744,              0.0098456,              0.0098456,              0.0098456
                     81,                0.31654,                0.32377,                 0.2439,                0.86821,                0.99855,                      1,                  0.995,                0.98934,                0.99855,                      1,                  0.995,                 0.9876,                0.16832,                 0.1658,                0.15272,                0.81444,              0.0098436,              0.0098436,              0.0098436
                     82,                0.31043,                0.30233,                0.23682,                0.86909,                0.99924,                      1,                  0.995,                0.99324,                0.99924,                      1,                  0.995,                0.99406,                0.14654,                0.14836,                0.13313,                0.80897,              0.0098416,              0.0098416,              0.0098416
                     83,                0.30216,                 0.3169,                0.23482,                0.86387,                0.99921,                      1,                  0.995,                0.98999,                0.99921,                      1,                  0.995,                0.99325,                0.15121,                0.15839,                0.14806,                0.81183,              0.0098396,              0.0098396,              0.0098396
                     84,                0.30315,                0.29814,                0.23587,                 0.8682,                0.99891,                      1,                  0.995,                0.99174,                0.99891,                      1,                  0.995,                0.99313,                0.14991,                 0.1482,                0.13865,                0.80608,              0.0098376,              0.0098376,              0.0098376
                     85,                0.30962,                0.31162,                0.23915,                0.86575,                0.99991,                      1,                  0.995,                0.99345,                0.99991,                      1,                  0.995,                0.99425,                0.13852,                0.14909,                0.13236,                0.80551,              0.0098357,              0.0098357,              0.0098357
                     86,                 0.3021,                0.30484,                0.23389,                0.86354,                0.99864,                      1,                  0.995,                0.99013,                0.99864,                      1,                  0.995,                0.99335,                0.15912,                0.14971,                0.13653,                0.81133,              0.0098337,              0.0098337,              0.0098337
                     87,                0.30359,                0.31499,                0.23287,                0.86654,                0.99915,                      1,                  0.995,                 0.9905,                0.99915,                      1,                  0.995,                0.99419,                0.15241,                0.15479,                0.13378,                 0.8075,              0.0098317,              0.0098317,              0.0098317
                     88,                0.30698,                0.31158,                0.23546,                0.86911,                0.99911,                      1,                  0.995,                0.99167,                0.99911,                      1,                  0.995,                0.99438,                 0.1501,                0.15615,                0.11963,                0.80701,              0.0098297,              0.0098297,              0.0098297
                     89,                0.30508,                0.30202,                0.23486,                0.86752,                0.99923,                      1,                  0.995,                0.99135,                0.99923,                      1,                  0.995,                0.99274,                0.15337,                0.15426,                 0.1376,                0.80708,              0.0098277,              0.0098277,              0.0098277
                     90,                0.29822,                0.29713,                0.23302,                0.86483,                0.99921,                      1,                  0.995,                0.99345,                0.99921,                      1,                  0.995,                  0.995,                0.13906,                0.13632,                0.12196,                0.80393,              0.0098258,              0.0098258,              0.0098258
                     91,                0.30825,                0.31244,                0.23885,                0.86639,                0.99384,                      1,                  0.995,                0.99137,                0.99384,                      1,                  0.995,                0.99072,                0.15417,                0.17403,                0.14201,                0.81096,              0.0098238,              0.0098238,              0.0098238
                     92,                0.30075,                0.31169,                0.23098,                0.86574,                0.99898,                      1,                  0.995,                0.99341,                0.99898,                      1,                  0.995,                 0.9921,                0.15124,                0.14999,                0.11943,                 0.8064,              0.0098218,              0.0098218,              0.0098218
                     93,                0.30447,                 0.3032,                0.23533,                0.86616,                0.99919,                      1,                  0.995,                0.99357,                0.99919,                      1,                  0.995,                0.99336,                  0.145,                0.15696,                0.12196,                0.80851,              0.0098198,              0.0098198,              0.0098198
                     94,                0.29829,                0.30213,                0.23093,                0.86513,                0.99924,                      1,                  0.995,                0.99456,                0.99924,                      1,                  0.995,                0.99261,                0.13564,                0.15408,                  0.117,                0.80357,              0.0098178,              0.0098178,              0.0098178
                     95,                0.29901,                0.30087,                0.22741,                0.86202,                0.99919,                      1,                  0.995,                0.99228,                0.99919,                      1,                  0.995,                0.99375,                0.13924,                0.14179,                0.12376,                0.80464,              0.0098159,              0.0098159,              0.0098159
                     96,                0.30064,                0.30005,                0.22995,                0.86572,                0.99855,                      1,                  0.995,                0.98821,                0.99855,                      1,                  0.995,                0.99032,                0.14223,                0.14919,                0.12942,                0.80311,              0.0098139,              0.0098139,              0.0098139
                     97,                 0.2931,                0.29897,                0.22729,                0.86131,                0.99922,                      1,                  0.995,                0.98813,                0.99922,                      1,                  0.995,                0.99331,                0.14811,                0.14056,                0.12111,                0.80861,              0.0098119,              0.0098119,              0.0098119
                     98,                0.29901,                0.28155,                0.22747,                0.86378,                0.99922,                      1,                  0.995,                0.99452,                0.99922,                      1,                  0.995,                0.99451,                0.14361,                0.14363,                0.12587,                0.80498,              0.0098099,              0.0098099,              0.0098099
